market,date_cet,area,deliveryStartUTC,deliveryEndUTC,deliveryStartCET,deliveryEndCET,price,currency
SIDC_IntradayAuction1,2026-03-01,AT,2026-02-28T23:00:00Z,2026-02-28T23:15:00Z,2026-03-01T00:00:00+01:00,2026-03-01T00:15:00+01:00,62.25,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-02-28T23:15:00Z,2026-02-28T23:30:00Z,2026-03-01T00:15:00+01:00,2026-03-01T00:30:00+01:00,62.99,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-02-28T23:30:00Z,2026-02-28T23:45:00Z,2026-03-01T00:30:00+01:00,2026-03-01T00:45:00+01:00,58.9,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-02-28T23:45:00Z,2026-03-01T00:00:00Z,2026-03-01T00:45:00+01:00,2026-03-01T01:00:00+01:00,55.61,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T00:00:00Z,2026-03-01T00:15:00Z,2026-03-01T01:00:00+01:00,2026-03-01T01:15:00+01:00,66.4,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T00:15:00Z,2026-03-01T00:30:00Z,2026-03-01T01:15:00+01:00,2026-03-01T01:30:00+01:00,62.01,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T00:30:00Z,2026-03-01T00:45:00Z,2026-03-01T01:30:00+01:00,2026-03-01T01:45:00+01:00,56.55,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T00:45:00Z,2026-03-01T01:00:00Z,2026-03-01T01:45:00+01:00,2026-03-01T02:00:00+01:00,52.44,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T01:00:00Z,2026-03-01T01:15:00Z,2026-03-01T02:00:00+01:00,2026-03-01T02:15:00+01:00,56.61,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T01:15:00Z,2026-03-01T01:30:00Z,2026-03-01T02:15:00+01:00,2026-03-01T02:30:00+01:00,52.63,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T01:30:00Z,2026-03-01T01:45:00Z,2026-03-01T02:30:00+01:00,2026-03-01T02:45:00+01:00,55.99,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T01:45:00Z,2026-03-01T02:00:00Z,2026-03-01T02:45:00+01:00,2026-03-01T03:00:00+01:00,57.91,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T02:00:00Z,2026-03-01T02:15:00Z,2026-03-01T03:00:00+01:00,2026-03-01T03:15:00+01:00,54.48,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T02:15:00Z,2026-03-01T02:30:00Z,2026-03-01T03:15:00+01:00,2026-03-01T03:30:00+01:00,57.56,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T02:30:00Z,2026-03-01T02:45:00Z,2026-03-01T03:30:00+01:00,2026-03-01T03:45:00+01:00,61.83,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T02:45:00Z,2026-03-01T03:00:00Z,2026-03-01T03:45:00+01:00,2026-03-01T04:00:00+01:00,63.96,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T03:00:00Z,2026-03-01T03:15:00Z,2026-03-01T04:00:00+01:00,2026-03-01T04:15:00+01:00,59.3,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T03:15:00Z,2026-03-01T03:30:00Z,2026-03-01T04:15:00+01:00,2026-03-01T04:30:00+01:00,62.75,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T03:30:00Z,2026-03-01T03:45:00Z,2026-03-01T04:30:00+01:00,2026-03-01T04:45:00+01:00,66.01,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T03:45:00Z,2026-03-01T04:00:00Z,2026-03-01T04:45:00+01:00,2026-03-01T05:00:00+01:00,72.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T04:00:00Z,2026-03-01T04:15:00Z,2026-03-01T05:00:00+01:00,2026-03-01T05:15:00+01:00,58.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T04:15:00Z,2026-03-01T04:30:00Z,2026-03-01T05:15:00+01:00,2026-03-01T05:30:00+01:00,62.85,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T04:30:00Z,2026-03-01T04:45:00Z,2026-03-01T05:30:00+01:00,2026-03-01T05:45:00+01:00,66.47,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T04:45:00Z,2026-03-01T05:00:00Z,2026-03-01T05:45:00+01:00,2026-03-01T06:00:00+01:00,67.32,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T05:00:00Z,2026-03-01T05:15:00Z,2026-03-01T06:00:00+01:00,2026-03-01T06:15:00+01:00,60.7,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T05:15:00Z,2026-03-01T05:30:00Z,2026-03-01T06:15:00+01:00,2026-03-01T06:30:00+01:00,67.45,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T05:30:00Z,2026-03-01T05:45:00Z,2026-03-01T06:30:00+01:00,2026-03-01T06:45:00+01:00,69.01,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T05:45:00Z,2026-03-01T06:00:00Z,2026-03-01T06:45:00+01:00,2026-03-01T07:00:00+01:00,66.74,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T06:00:00Z,2026-03-01T06:15:00Z,2026-03-01T07:00:00+01:00,2026-03-01T07:15:00+01:00,68.4,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T06:15:00Z,2026-03-01T06:30:00Z,2026-03-01T07:15:00+01:00,2026-03-01T07:30:00+01:00,69.6,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T06:30:00Z,2026-03-01T06:45:00Z,2026-03-01T07:30:00+01:00,2026-03-01T07:45:00+01:00,65.24,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T06:45:00Z,2026-03-01T07:00:00Z,2026-03-01T07:45:00+01:00,2026-03-01T08:00:00+01:00,54.56,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T07:00:00Z,2026-03-01T07:15:00Z,2026-03-01T08:00:00+01:00,2026-03-01T08:15:00+01:00,70.82,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T07:15:00Z,2026-03-01T07:30:00Z,2026-03-01T08:15:00+01:00,2026-03-01T08:30:00+01:00,66.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T07:30:00Z,2026-03-01T07:45:00Z,2026-03-01T08:30:00+01:00,2026-03-01T08:45:00+01:00,52.67,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T07:45:00Z,2026-03-01T08:00:00Z,2026-03-01T08:45:00+01:00,2026-03-01T09:00:00+01:00,48.55,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T08:00:00Z,2026-03-01T08:15:00Z,2026-03-01T09:00:00+01:00,2026-03-01T09:15:00+01:00,45.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T08:15:00Z,2026-03-01T08:30:00Z,2026-03-01T09:15:00+01:00,2026-03-01T09:30:00+01:00,30.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T08:30:00Z,2026-03-01T08:45:00Z,2026-03-01T09:30:00+01:00,2026-03-01T09:45:00+01:00,15.01,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T08:45:00Z,2026-03-01T09:00:00Z,2026-03-01T09:45:00+01:00,2026-03-01T10:00:00+01:00,10.11,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T09:00:00Z,2026-03-01T09:15:00Z,2026-03-01T10:00:00+01:00,2026-03-01T10:15:00+01:00,16.06,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T09:15:00Z,2026-03-01T09:30:00Z,2026-03-01T10:15:00+01:00,2026-03-01T10:30:00+01:00,7.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T09:30:00Z,2026-03-01T09:45:00Z,2026-03-01T10:30:00+01:00,2026-03-01T10:45:00+01:00,5.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T09:45:00Z,2026-03-01T10:00:00Z,2026-03-01T10:45:00+01:00,2026-03-01T11:00:00+01:00,1.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T10:00:00Z,2026-03-01T10:15:00Z,2026-03-01T11:00:00+01:00,2026-03-01T11:15:00+01:00,10.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T10:15:00Z,2026-03-01T10:30:00Z,2026-03-01T11:15:00+01:00,2026-03-01T11:30:00+01:00,10.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T10:30:00Z,2026-03-01T10:45:00Z,2026-03-01T11:30:00+01:00,2026-03-01T11:45:00+01:00,7.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T10:45:00Z,2026-03-01T11:00:00Z,2026-03-01T11:45:00+01:00,2026-03-01T12:00:00+01:00,12.38,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T11:00:00Z,2026-03-01T11:15:00Z,2026-03-01T12:00:00+01:00,2026-03-01T12:15:00+01:00,7.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T11:15:00Z,2026-03-01T11:30:00Z,2026-03-01T12:15:00+01:00,2026-03-01T12:30:00+01:00,1.89,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T11:30:00Z,2026-03-01T11:45:00Z,2026-03-01T12:30:00+01:00,2026-03-01T12:45:00+01:00,-0.04,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T11:45:00Z,2026-03-01T12:00:00Z,2026-03-01T12:45:00+01:00,2026-03-01T13:00:00+01:00,-2.29,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T12:00:00Z,2026-03-01T12:15:00Z,2026-03-01T13:00:00+01:00,2026-03-01T13:15:00+01:00,-4.97,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T12:15:00Z,2026-03-01T12:30:00Z,2026-03-01T13:15:00+01:00,2026-03-01T13:30:00+01:00,-4.27,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T12:30:00Z,2026-03-01T12:45:00Z,2026-03-01T13:30:00+01:00,2026-03-01T13:45:00+01:00,-1.5,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T12:45:00Z,2026-03-01T13:00:00Z,2026-03-01T13:45:00+01:00,2026-03-01T14:00:00+01:00,-1.11,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T13:00:00Z,2026-03-01T13:15:00Z,2026-03-01T14:00:00+01:00,2026-03-01T14:15:00+01:00,-6.01,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T13:15:00Z,2026-03-01T13:30:00Z,2026-03-01T14:15:00+01:00,2026-03-01T14:30:00+01:00,-1.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T13:30:00Z,2026-03-01T13:45:00Z,2026-03-01T14:30:00+01:00,2026-03-01T14:45:00+01:00,0.32,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T13:45:00Z,2026-03-01T14:00:00Z,2026-03-01T14:45:00+01:00,2026-03-01T15:00:00+01:00,11.3,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T14:00:00Z,2026-03-01T14:15:00Z,2026-03-01T15:00:00+01:00,2026-03-01T15:15:00+01:00,0.72,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T14:15:00Z,2026-03-01T14:30:00Z,2026-03-01T15:15:00+01:00,2026-03-01T15:30:00+01:00,12.01,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T14:30:00Z,2026-03-01T14:45:00Z,2026-03-01T15:30:00+01:00,2026-03-01T15:45:00+01:00,37.75,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T14:45:00Z,2026-03-01T15:00:00Z,2026-03-01T15:45:00+01:00,2026-03-01T16:00:00+01:00,69.45,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T15:00:00Z,2026-03-01T15:15:00Z,2026-03-01T16:00:00+01:00,2026-03-01T16:15:00+01:00,45.41,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T15:15:00Z,2026-03-01T15:30:00Z,2026-03-01T16:15:00+01:00,2026-03-01T16:30:00+01:00,67.44,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T15:30:00Z,2026-03-01T15:45:00Z,2026-03-01T16:30:00+01:00,2026-03-01T16:45:00+01:00,96.21,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T15:45:00Z,2026-03-01T16:00:00Z,2026-03-01T16:45:00+01:00,2026-03-01T17:00:00+01:00,111.01,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T16:00:00Z,2026-03-01T16:15:00Z,2026-03-01T17:00:00+01:00,2026-03-01T17:15:00+01:00,96.54,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T16:15:00Z,2026-03-01T16:30:00Z,2026-03-01T17:15:00+01:00,2026-03-01T17:30:00+01:00,108.06,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T16:30:00Z,2026-03-01T16:45:00Z,2026-03-01T17:30:00+01:00,2026-03-01T17:45:00+01:00,119.99,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T16:45:00Z,2026-03-01T17:00:00Z,2026-03-01T17:45:00+01:00,2026-03-01T18:00:00+01:00,120.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T17:00:00Z,2026-03-01T17:15:00Z,2026-03-01T18:00:00+01:00,2026-03-01T18:15:00+01:00,117.63,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T17:15:00Z,2026-03-01T17:30:00Z,2026-03-01T18:15:00+01:00,2026-03-01T18:30:00+01:00,115.39,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T17:30:00Z,2026-03-01T17:45:00Z,2026-03-01T18:30:00+01:00,2026-03-01T18:45:00+01:00,118.43,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T17:45:00Z,2026-03-01T18:00:00Z,2026-03-01T18:45:00+01:00,2026-03-01T19:00:00+01:00,117.47,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T18:00:00Z,2026-03-01T18:15:00Z,2026-03-01T19:00:00+01:00,2026-03-01T19:15:00+01:00,118.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T18:15:00Z,2026-03-01T18:30:00Z,2026-03-01T19:15:00+01:00,2026-03-01T19:30:00+01:00,113.22,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T18:30:00Z,2026-03-01T18:45:00Z,2026-03-01T19:30:00+01:00,2026-03-01T19:45:00+01:00,108.66,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T18:45:00Z,2026-03-01T19:00:00Z,2026-03-01T19:45:00+01:00,2026-03-01T20:00:00+01:00,103.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T19:00:00Z,2026-03-01T19:15:00Z,2026-03-01T20:00:00+01:00,2026-03-01T20:15:00+01:00,113.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T19:15:00Z,2026-03-01T19:30:00Z,2026-03-01T20:15:00+01:00,2026-03-01T20:30:00+01:00,105.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T19:30:00Z,2026-03-01T19:45:00Z,2026-03-01T20:30:00+01:00,2026-03-01T20:45:00+01:00,102.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T19:45:00Z,2026-03-01T20:00:00Z,2026-03-01T20:45:00+01:00,2026-03-01T21:00:00+01:00,92.99,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T20:00:00Z,2026-03-01T20:15:00Z,2026-03-01T21:00:00+01:00,2026-03-01T21:15:00+01:00,102.85,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T20:15:00Z,2026-03-01T20:30:00Z,2026-03-01T21:15:00+01:00,2026-03-01T21:30:00+01:00,99.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T20:30:00Z,2026-03-01T20:45:00Z,2026-03-01T21:30:00+01:00,2026-03-01T21:45:00+01:00,93.73,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T20:45:00Z,2026-03-01T21:00:00Z,2026-03-01T21:45:00+01:00,2026-03-01T22:00:00+01:00,87.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T21:00:00Z,2026-03-01T21:15:00Z,2026-03-01T22:00:00+01:00,2026-03-01T22:15:00+01:00,100.8,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T21:15:00Z,2026-03-01T21:30:00Z,2026-03-01T22:15:00+01:00,2026-03-01T22:30:00+01:00,94.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T21:30:00Z,2026-03-01T21:45:00Z,2026-03-01T22:30:00+01:00,2026-03-01T22:45:00+01:00,92.0,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T21:45:00Z,2026-03-01T22:00:00Z,2026-03-01T22:45:00+01:00,2026-03-01T23:00:00+01:00,80.92,EUR
SIDC_IntradayAuction1,2026-03-01,AT,2026-03-01T22:00:00Z,2026-03-01T22:15:00Z,2026-03-01T23:00:00+01:00,2026-03-01T23:15:00+01:00,86.95,EUR
