market,date_cet,area,contractName,contractId,deliveryStartUTC,deliveryEndUTC,deliveryStartCET,deliveryEndCET,vwap,volume,priceUnit,volumeUnit
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-01,NX_573989,2026-02-28T23:00:00Z,2026-02-28T23:15:00Z,2026-03-01T00:00:00+01:00,2026-03-01T00:15:00+01:00,24.83,513.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-02,NX_573990,2026-02-28T23:15:00Z,2026-02-28T23:30:00Z,2026-03-01T00:15:00+01:00,2026-03-01T00:30:00+01:00,21.23,430.8,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-03,NX_573992,2026-02-28T23:30:00Z,2026-02-28T23:45:00Z,2026-03-01T00:30:00+01:00,2026-03-01T00:45:00+01:00,3.64,441.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-04,NX_573993,2026-02-28T23:45:00Z,2026-03-01T00:00:00Z,2026-03-01T00:45:00+01:00,2026-03-01T01:00:00+01:00,-4.8,476.4,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-05,NX_573996,2026-03-01T00:00:00Z,2026-03-01T00:15:00Z,2026-03-01T01:00:00+01:00,2026-03-01T01:15:00+01:00,-0.17,454.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-06,NX_573997,2026-03-01T00:15:00Z,2026-03-01T00:30:00Z,2026-03-01T01:15:00+01:00,2026-03-01T01:30:00+01:00,-2.97,389.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-07,NX_573999,2026-03-01T00:30:00Z,2026-03-01T00:45:00Z,2026-03-01T01:30:00+01:00,2026-03-01T01:45:00+01:00,27.66,282.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-08,NX_574000,2026-03-01T00:45:00Z,2026-03-01T01:00:00Z,2026-03-01T01:45:00+01:00,2026-03-01T02:00:00+01:00,16.93,292.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-09,NX_574003,2026-03-01T01:00:00Z,2026-03-01T01:15:00Z,2026-03-01T02:00:00+01:00,2026-03-01T02:15:00+01:00,26.09,227.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-10,NX_574004,2026-03-01T01:15:00Z,2026-03-01T01:30:00Z,2026-03-01T02:15:00+01:00,2026-03-01T02:30:00+01:00,9.07,272.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-11,NX_574006,2026-03-01T01:30:00Z,2026-03-01T01:45:00Z,2026-03-01T02:30:00+01:00,2026-03-01T02:45:00+01:00,8.91,287.8,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-12,NX_574007,2026-03-01T01:45:00Z,2026-03-01T02:00:00Z,2026-03-01T02:45:00+01:00,2026-03-01T03:00:00+01:00,5.56,255.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-13,NX_574010,2026-03-01T02:00:00Z,2026-03-01T02:15:00Z,2026-03-01T03:00:00+01:00,2026-03-01T03:15:00+01:00,13.47,252.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-14,NX_574011,2026-03-01T02:15:00Z,2026-03-01T02:30:00Z,2026-03-01T03:15:00+01:00,2026-03-01T03:30:00+01:00,10.4,286.6,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-15,NX_574013,2026-03-01T02:30:00Z,2026-03-01T02:45:00Z,2026-03-01T03:30:00+01:00,2026-03-01T03:45:00+01:00,9.86,280.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-16,NX_574014,2026-03-01T02:45:00Z,2026-03-01T03:00:00Z,2026-03-01T03:45:00+01:00,2026-03-01T04:00:00+01:00,5.16,381.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-17,NX_574017,2026-03-01T03:00:00Z,2026-03-01T03:15:00Z,2026-03-01T04:00:00+01:00,2026-03-01T04:15:00+01:00,11.32,268.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-18,NX_574018,2026-03-01T03:15:00Z,2026-03-01T03:30:00Z,2026-03-01T04:15:00+01:00,2026-03-01T04:30:00+01:00,11.18,293.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-19,NX_574020,2026-03-01T03:30:00Z,2026-03-01T03:45:00Z,2026-03-01T04:30:00+01:00,2026-03-01T04:45:00+01:00,12.13,246.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-20,NX_574021,2026-03-01T03:45:00Z,2026-03-01T04:00:00Z,2026-03-01T04:45:00+01:00,2026-03-01T05:00:00+01:00,12.36,234.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-21,NX_574024,2026-03-01T04:00:00Z,2026-03-01T04:15:00Z,2026-03-01T05:00:00+01:00,2026-03-01T05:15:00+01:00,10.7,234.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-22,NX_574025,2026-03-01T04:15:00Z,2026-03-01T04:30:00Z,2026-03-01T05:15:00+01:00,2026-03-01T05:30:00+01:00,8.94,271.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-23,NX_574027,2026-03-01T04:30:00Z,2026-03-01T04:45:00Z,2026-03-01T05:30:00+01:00,2026-03-01T05:45:00+01:00,9.1,206.6,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-24,NX_574028,2026-03-01T04:45:00Z,2026-03-01T05:00:00Z,2026-03-01T05:45:00+01:00,2026-03-01T06:00:00+01:00,7.83,240.8,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-25,NX_574031,2026-03-01T05:00:00Z,2026-03-01T05:15:00Z,2026-03-01T06:00:00+01:00,2026-03-01T06:15:00+01:00,22.71,311.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-26,NX_574032,2026-03-01T05:15:00Z,2026-03-01T05:30:00Z,2026-03-01T06:15:00+01:00,2026-03-01T06:30:00+01:00,21.07,334.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-27,NX_574034,2026-03-01T05:30:00Z,2026-03-01T05:45:00Z,2026-03-01T06:30:00+01:00,2026-03-01T06:45:00+01:00,22.23,336.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-28,NX_574035,2026-03-01T05:45:00Z,2026-03-01T06:00:00Z,2026-03-01T06:45:00+01:00,2026-03-01T07:00:00+01:00,19.47,325.6,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-29,NX_574039,2026-03-01T06:00:00Z,2026-03-01T06:15:00Z,2026-03-01T07:00:00+01:00,2026-03-01T07:15:00+01:00,8.35,221.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-30,NX_574041,2026-03-01T06:15:00Z,2026-03-01T06:30:00Z,2026-03-01T07:15:00+01:00,2026-03-01T07:30:00+01:00,9.93,232.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-31,NX_574043,2026-03-01T06:30:00Z,2026-03-01T06:45:00Z,2026-03-01T07:30:00+01:00,2026-03-01T07:45:00+01:00,9.19,255.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-32,NX_574044,2026-03-01T06:45:00Z,2026-03-01T07:00:00Z,2026-03-01T07:45:00+01:00,2026-03-01T08:00:00+01:00,10.32,273.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-33,NX_574047,2026-03-01T07:00:00Z,2026-03-01T07:15:00Z,2026-03-01T08:00:00+01:00,2026-03-01T08:15:00+01:00,23.06,606.1,EUR/MWh,MW
