area,date,stage,stage_pnl_eur
AT,2026-01-01,IDA1,40.07440576053762
AT,2026-01-01,IDA2,46.20121325966523
AT,2026-01-01,IDA3,28.182892677673607
AT,2026-01-01,TOTAL,114.45851169787646
AT,2026-01-02,IDA1,67.3638865265686
AT,2026-01-02,IDA2,63.90202081859874
AT,2026-01-02,IDA3,-12.543059865479435
AT,2026-01-02,TOTAL,118.72284747968793
AT,2026-01-03,IDA1,20.408570179476456
AT,2026-01-03,IDA2,25.650190673881806
AT,2026-01-03,IDA3,20.745624567067903
AT,2026-01-03,TOTAL,66.80438542042617
AT,2026-01-04,IDA1,16.40007306088
AT,2026-01-04,IDA2,16.457416363512067
AT,2026-01-04,IDA3,14.93403450169792
AT,2026-01-04,TOTAL,47.791523926089994
AT,2026-01-05,IDA1,42.875285439502676
AT,2026-01-05,IDA2,33.33671949186862
AT,2026-01-05,IDA3,-61.74962109052879
AT,2026-01-05,TOTAL,14.462383840842506
AT,2026-01-06,IDA1,15.937100913668786
AT,2026-01-06,IDA2,25.21286737472592
AT,2026-01-06,IDA3,-81.94952787203884
AT,2026-01-06,TOTAL,-40.79955958364414
AT,2026-01-07,IDA1,41.43600477120365
AT,2026-01-07,IDA2,63.587646141010026
AT,2026-01-07,IDA3,-31.197925984040893
AT,2026-01-07,TOTAL,73.82572492817278
AT,2026-01-08,IDA1,81.62390068208104
AT,2026-01-08,IDA2,176.43451664750995
AT,2026-01-08,IDA3,-102.59415497882897
AT,2026-01-08,TOTAL,155.46426235076206
AT,2026-01-09,IDA1,9.059590848066534
AT,2026-01-09,IDA2,-2.6231402636907006
AT,2026-01-09,IDA3,-41.28077821372017
AT,2026-01-09,TOTAL,-34.844327629344335
AT,2026-01-10,IDA1,-2.682958005862602
AT,2026-01-10,IDA2,5.850113730930495
AT,2026-01-10,IDA3,-25.534468493230058
AT,2026-01-10,TOTAL,-22.367312768162165
AT,2026-01-11,IDA1,10.443835843646504
AT,2026-01-11,IDA2,18.11933774158984
AT,2026-01-11,IDA3,8.49993731395086
AT,2026-01-11,TOTAL,37.0631108991872
AT,2026-01-12,IDA1,123.64313162651518
AT,2026-01-12,IDA2,181.55646189491557
AT,2026-01-12,IDA3,-69.40662869244784
AT,2026-01-12,TOTAL,235.79296482898292
AT,2026-01-13,IDA1,109.38355444126992
AT,2026-01-13,IDA2,152.5689380012649
AT,2026-01-13,IDA3,-39.20070679325763
AT,2026-01-13,TOTAL,222.7517856492772
AT,2026-01-14,IDA1,62.604216971396454
AT,2026-01-14,IDA2,47.44401259619339
AT,2026-01-14,IDA3,-4.781028086993089
AT,2026-01-14,TOTAL,105.26720148059675
AT,2026-01-15,IDA1,31.84052588488052
AT,2026-01-15,IDA2,44.9417546728576
